,Estimated,Actual,FPTrial,FPApproxi,Requirement,LikelySys,Type,IsFormat,MeetSchedule,HearlingNum,AddiJobTime,Num,StakeHolder,WorkPasona,Importance,IdentifyProb,NewTech,Workspace,SimilarProject,PMTool,CMTool,DSTool,DTTool,CASETool,CodeGenerator,DevMethodology,User Participation,User Agreement,Mandatory Control,CycloCompSum,CycloCompAve,Reliability,UC,Architecture,Language,BusExp,DesignExp,LangExp,PlatformExp,PMExp,Grade,ProExp,PBLExp,Purpose,ConcuTask,ConcuProj
A,20,215,144,247,21,0,new,0,46,2,0,5,3,1,3.23,8,1,2,1,1,1,1,1,0,0,1,1,1,0,142,4.303030303,0,22,MVC,PHP,0,0,0,0,0,3,3,0,1,1,1.8
B,32,140,144,243,19,0,new,0,43,2,1.5,5,3,1,2,2,1,2,1,1,1,1,1,0,0,1,1,1,0,79,2.633333333,0,23,MVC,PHP,0,0,0,0,0,3,4,0,0,1,1.6
C,19,220,72,167,15,1,new,0,48,1,6,5,3,1,3.64,2,1,2,1,1,1,1,1,0,0,1,1,1,0,19,3.166666667,0,20,MVC,PHP,0,0,0,0,0,3,3,0,0,1,1.4
D,80,410,254,359,10,1,new,1,74,3,0,5,4,1,3,NA,0,2,0,1,1,1,1,0,0,1,1,1,1,81,1.094594595,1,37,MVC,PHP,0,1,1,1,1,3,5,5,1,0,1.8
E,350,1660,160,245,1,3,re_develop,0,167,4,8.5,10,4,2,2.81,1,1,2,0,1,1,1,1,0,0,0,0,1,1,174,3.107142857,1,18,MVC,PHP,0,1,1,1,1,3,10,10,0,1,1.5
F,1.97,10,192,320,4,0,new,0,2,NA,0,5,5,1,2,NA,1,2,0,1,1,1,0,0,0,1,1,0,0,55,1.527777778,0,NA,MVC,PHP,0,1,0,0,0,5.4,5,5,1,1,1.4
G,2.54,10,144,260,4,0,new,0,3,NA,0,5,4,1,2.16,NA,1,2,0,1,1,1,0,0,0,1,1,0,0,65,2.03125,0,16,MVC,PHP,0,1,0,0,1,5.4,5,5,1,1,1.6
H,0.63,10,152,246,0,0,new,0,2,NA,0,5,5,1,2.1,2,1,2,0,1,1,1,0,0,0,1,1,0,0,65,2.166666667,0,7,MVC,PHP,0,1,0,0,1,5,5,5,1,1,2
I,1.92,8,48,178,7,0,new,0,3,2,0,5,3,1,2.607,2,1,2,0,1,1,0,0,0,0,1,1,0,0,125,3.048780488,0,NA,MVC,PHP,0,1,0,0,1,5.4,5,5,1,1,2
J,NA,392,152,176,14,0,add,0,NA,1,0,7,3,1,NA,0,0,2,1,1,1,1,0,0,0,1,1,0,0,87,1.474576271,0,10,MVC,PHP,0,1,1,1,1,5.3,7,7,1,1,2
